GENE	ENSG00000212932	RPL23AP4	21	PSEUDO	+	46690763	46691226	ENST00000427757
GENE	ENSG00000160310	PRMT2	21	PROTEIN	+	46635166	46665124	ENST00000486520;ENST00000498151;ENST00000491389;ENST00000455177;ENST00000621201;ENST00000397638;ENST00000458387;ENST00000397628;ENST00000451211;ENST00000397637;ENST00000355680;ENST00000440086;ENST00000291705;ENST00000334494;ENST00000481861;ENST00000482508
GENE	ENSG00000202239	RNU6-396P	21	OTHER	+	46525617	46525722	ENST00000365369
GENE	ENSG00000160305	DIP2A	21	PROTEIN	+	46458898	46569852	ENST00000479654;ENST00000478105;ENST00000435722;ENST00000466639;ENST00000457905;ENST00000400274;ENST00000481883;ENST00000472364;ENST00000473752;ENST00000494435;ENST00000417564;ENST00000480553
GENE	ENSG00000225043	RPL18AP2	21	PSEUDO	-	46420552	46421034	ENST00000450007
GENE	ENSG00000160299	PCNT	21	PROTEIN	+	46324121	46445769	ENST00000465356;ENST00000418394;ENST00000482575;ENST00000483844;ENST00000359568;ENST00000490468;ENST00000480896;ENST00000466474
GENE	ENSG00000160298	C21orf58	21	PROTEIN	-	46300180	46323875	ENST00000475776;ENST00000472607;ENST00000397680;ENST00000397679;ENST00000291691;ENST00000445935;ENST00000491666;ENST00000397683;ENST00000397682;ENST00000417060
GENE	ENSG00000182362	YBEY	21	PROTEIN	+	46286336	46297751	ENST00000397691;ENST00000397692;ENST00000397701;ENST00000329319;ENST00000492864;ENST00000339195;ENST00000468924;ENST00000397694
GENE	ENSG00000239415	AP001469.3	21	OTHER	-	46251548	46254133	ENST00000430259;ENST00000447037
GENE	ENSG00000228137	AP001469.2	21	OTHER	+	46246889	46247682	ENST00000444966
GENE	ENSG00000215424	MCM3AP-AS1	21	OTHER	+	46229216	46259390	ENST00000588753;ENST00000421927;ENST00000444998;ENST00000455567;ENST00000590829;ENST00000414659;ENST00000420074;ENST00000591223;ENST00000432735
GENE	ENSG00000212938	KRTAP6-3	21	PROTEIN	+	30592439	30593075	ENST00000391624
GENE	ENSG00000186925	KRTAP19-6	21	PROTEIN	-	30541534	30541864	ENST00000334046
GENE	ENSG00000218125	AP000567.1	21	PSEUDO	-	30526545	30526701	ENST00000406413
GENE	ENSG00000235277	AF127577.3	21	OTHER	+	14918533	14947096	ENST00000430391
GENE	ENSG00000186977	KRTAP19-5	21	PROTEIN	-	30501656	30502117	ENST00000334151
GENE	ENSG00000237138	HUNK-AS1	21	OTHER	-	32020965	32021782	ENST00000437109
GENE	ENSG00000232806	AP001610.2	21	OTHER	-	41559124	41562958	ENST00000415820
GENE	ENSG00000154645	CHODL	21	PROTEIN	+	17901262	18267373	ENST00000338326;ENST00000299295;ENST00000400128;ENST00000400131;ENST00000543733;ENST00000400127;ENST00000400135
GENE	ENSG00000186970	KRTAP15-1	21	PROTEIN	+	30440274	30440945	ENST00000334067
GENE	ENSG00000186971	KRTAP13-4	21	PROTEIN	+	30430229	30431026	ENST00000334068
GENE	ENSG00000221859	KRTAP10-10	21	PROTEIN	+	44637355	44638455	ENST00000380095
GENE	ENSG00000240432	KRTAP13-3	21	PROTEIN	-	30425264	30425968	ENST00000390690
GENE	ENSG00000182816	KRTAP13-2	21	PROTEIN	-	30371390	30372257	ENST00000399889
GENE	ENSG00000244025	KRTAP19-3	21	PROTEIN	-	30491463	30491985	ENST00000334063
GENE	ENSG00000250973	KRTAP13-6P	21	PSEUDO	-	30356514	30356885	ENST00000508999
GENE	ENSG00000225906	AP000949.1	21	PSEUDO	+	22882581	22884000	ENST00000438328
GENE	ENSG00000160208	RRP1B	21	PROTEIN	+	43659547	43696079	ENST00000470886;ENST00000340648
GENE	ENSG00000159216	RUNX1	21	PROTEIN	-	34787800	36004667	ENST00000494829;ENST00000467692;ENST00000475045;ENST00000416754;ENST00000455571;ENST00000482318;ENST00000468726;ENST00000300305;ENST00000460207;ENST00000437180;ENST00000344691;ENST00000479325;ENST00000469087;ENST00000399240;ENST00000358356;ENST00000399237;ENST00000467577
GENE	ENSG00000232263	KRTAP25-1	21	PROTEIN	-	30289144	30289514	ENST00000416044
GENE	ENSG00000183844	FAM3B	21	PROTEIN	+	41304211	41357431	ENST00000398646;ENST00000398647;ENST00000518236;ENST00000357985;ENST00000479810;ENST00000398652
GENE	ENSG00000188694	KRTAP24-1	21	PROTEIN	-	30281308	30282958	ENST00000340345
GENE	ENSG00000259981	AF096876.1	21	OTHER	+	30089716	30097836	ENST00000565564
GENE	ENSG00000142207	URB1	21	PROTEIN	-	32311017	32393026	ENST00000480196;ENST00000492603;ENST00000382751
GENE	ENSG00000225555	AP000320.1	21	OTHER	-	34370801	34375348	ENST00000440403
GENE	ENSG00000174680	GRIK1-AS1	21	OTHER	+	29748174	29764002	ENST00000413131;ENST00000455392;ENST00000423221;ENST00000309331;ENST00000412579
GENE	ENSG00000185433	LINC00158	21	OTHER	-	25385819	25431701	ENST00000440205;ENST00000439840;ENST00000332587;ENST00000441013
GENE	ENSG00000236532	LINC01695	21	OTHER	-	28116093	28228667	ENST00000437194;ENST00000433303;ENST00000453420
GENE	ENSG00000219592	NCSTNP1	21	PSEUDO	+	27492117	27492261	ENST00000406229
GENE	ENSG00000215533	LINC00189	21	OTHER	+	29193479	29288205	ENST00000431661;ENST00000420364;ENST00000447125
GENE	ENSG00000224421	ATP5J2LP	21	PSEUDO	-	36388877	36389112	ENST00000444161
GENE	ENSG00000198862	LTN1	21	PROTEIN	-	28928143	28992956	ENST00000483326;ENST00000475344;ENST00000389195;ENST00000361371;ENST00000486427;ENST00000389194;ENST00000614971
GENE	ENSG00000142192	APP	21	PROTEIN	-	25880549	26171128	ENST00000466453;ENST00000548570;ENST00000474136;ENST00000491395;ENST00000357903;ENST00000415997;ENST00000354192;ENST00000462267;ENST00000463070;ENST00000358918;ENST00000359726;ENST00000440126;ENST00000464867;ENST00000439274;ENST00000348990;ENST00000346798;ENST00000448850
GENE	ENSG00000166351	POTED	21	PROTEIN	+	13609857	13641585	ENST00000299443;ENST00000620442
GENE	ENSG00000234083	AJ006995.1	21	OTHER	+	27954921	27985295	ENST00000433344
