geneA.name	geneA.id	geneB.name	geneB.id	paircount	splitcount	transcripts.list
DDX50	ENSG00000107625	CYP27A1	ENSG00000135929	0	1	ENST00000373585_0:746_ENST00000258415_682:2286;ENST00000610822_0:732_ENST00000258415_682:2286
TROVE2	ENSG00000116747	SPATS2	ENSG00000123352	0	1	ENST00000553127_0:186_ENST00000400968_956:2143;ENST00000553127_0:186_ENST00000512587_469:581;ENST00000553127_0:186_ENST00000367446_790:3081;ENST00000553127_0:186_ENST00000432079_323:7848;ENST00000553127_0:186_ENST00000367441_619:1791;ENST00000553127_0:186_ENST00000367444_767:1857;ENST00000553127_0:186_ENST00000367445_767:1898;ENST00000553127_0:186_ENST00000367443_767:1909
GRIA4	ENSG00000152578	DLC1	ENSG00000164741	0	1	ENST00000512044_0:285_ENST00000530497_726:5059;ENST00000512044_0:285_ENST00000525187_726:2822;ENST00000512044_0:285_ENST00000393125_1216:2994;ENST00000512044_0:285_ENST00000393127_1172:5621;ENST00000512044_0:285_ENST00000282499_1172:5508;ENST00000512044_0:285_ENST00000428631_1000:2778
STARD3NL	ENSG00000010270	SEPT7	ENSG00000122545	0	1	ENST00000434197_0:158_ENST00000635047_186:760;ENST00000009041_0:199_ENST00000635047_186:760;ENST00000009041_0:193_ENST00000635047_180:760;ENST00000434197_0:152_ENST00000635047_180:760;ENST00000396013_0:64_ENST00000635047_180:760;ENST00000396013_0:70_ENST00000635047_186:760;ENST00000440144_0:39_ENST00000635047_180:760;ENST00000440144_0:45_ENST00000635047_186:760
SERPINC1	ENSG00000117601	RC3H1	ENSG00000135870	0	1	ENST00000367696_0:3603_ENST00000617423_160:984;ENST00000367696_0:3603_ENST00000367698_160:1594;ENST00000258349_0:3330_ENST00000617423_160:984;ENST00000258349_0:3330_ENST00000367698_160:1594;ENST00000367694_0:3311_ENST00000367698_160:1594;ENST00000367694_0:3311_ENST00000617423_160:984
TOP1MT	ENSG00000184428	RPL41	ENSG00000229117	0	1	ENST00000519148_0:1311_ENST00000501597_70:469;ENST00000521193_0:1399_ENST00000501597_70:469;ENST00000329245_0:1365_ENST00000501597_70:469;ENST00000523676_0:1442_ENST00000501597_70:469;ENST00000519139_0:1526_ENST00000501597_70:469
C1D	ENSG00000197223	PPP3R1	ENSG00000221823	0	1	ENST00000234310_0:407_ENST00000409302_52:772
ZNF37A	ENSG00000075407	ZNF25	ENSG00000175395	0	1	ENST00000638053_0:663_ENST00000302609_451:4139
PSMC5	ENSG00000087191	NR1H2	ENSG00000131408	0	1	ENST00000599105_0:412_ENST00000580864_1137:1552;ENST00000593926_0:284_ENST00000581882_1092:1474;ENST00000599105_0:412_ENST00000310144_1164:1579;ENST00000598168_0:427_ENST00000375812_1072:1494;ENST00000597130_0:446_ENST00000581882_1092:1474;ENST00000597130_0:446_ENST00000580864_1137:1552;ENST00000253727_0:416_ENST00000375812_1072:1494;ENST00000411902_0:426_ENST00000310144_1164:1579;ENST00000597130_0:446_ENST00000375812_1072:1494;ENST00000593926_0:284_ENST00000375812_1072:1494;ENST00000597790_0:554_ENST00000375812_1072:1494;ENST00000253727_0:416_ENST00000580864_1137:1552;ENST00000599105_0:412_ENST00000581882_1092:1474;ENST00000593926_0:284_ENST00000580864_1137:1552;ENST00000597790_0:554_ENST00000581882_1092:1474;ENST00000599105_0:412_ENST00000375812_1072:1494;ENST00000597157_0:353_ENST00000375812_1072:1494;ENST00000598168_0:427_ENST00000581882_1092:1474;ENST00000597157_0:353_ENST00000581882_1092:1474;ENST00000411902_0:426_ENST00000375812_1072:1494;ENST00000593926_0:284_ENST00000310144_1164:1579;ENST00000253727_0:416_ENST00000310144_1164:1579;ENST00000253727_0:416_ENST00000581882_1092:1474;ENST00000597157_0:353_ENST00000310144_1164:1579;ENST00000597157_0:353_ENST00000580864_1137:1552;ENST00000411902_0:426_ENST00000581882_1092:1474;ENST00000598168_0:427_ENST00000580864_1137:1552;ENST00000597790_0:554_ENST00000310144_1164:1579;ENST00000411902_0:426_ENST00000580864_1137:1552;ENST00000598168_0:427_ENST00000310144_1164:1579;ENST00000597790_0:554_ENST00000580864_1137:1552;ENST00000597130_0:446_ENST00000310144_1164:1579
RRNAD1	ENSG00000143303	FLNA	ENSG00000196924	0	1	ENST00000360319_0:2060_ENST00000519086_0:1191;ENST00000369856_0:1999_ENST00000519086_0:1191;ENST00000422373_0:2271_ENST00000519086_0:1191;ENST00000369850_0:2271_ENST00000519086_0:1191;ENST00000610817_0:2271_ENST00000519086_0:1191
