geneA.name	geneA.id	geneB.name	geneB.id	paircount	splitcount	transcripts.list
TIMP2	ENSG00000035862	CANT1	ENSG00000171302	0	2	ENST00000302345_0:1126_ENST00000536189_192:3415;ENST00000392446_0:844_ENST00000536189_192:3415;ENST00000302345_0:1126_ENST00000262768_429:3652;ENST00000591773_0:1031_ENST00000536189_192:3415;ENST00000620915_0:929_ENST00000536189_192:3415;ENST00000620915_0:929_ENST00000262768_429:3652;ENST00000392446_0:844_ENST00000262768_429:3652;ENST00000591773_0:1031_ENST00000262768_429:3652
TIMP2	ENSG00000035862	BAIAP2	ENSG00000175866	0	1	ENST00000575712_0:153_ENST00000536189_192:3415;ENST00000321280_0:187_ENST00000536189_192:3415;ENST00000428708_0:158_ENST00000262768_429:3652;ENST00000575989_0:158_ENST00000262768_429:3652;ENST00000575245_0:151_ENST00000536189_192:3415;ENST00000575989_0:158_ENST00000536189_192:3415;ENST00000428708_0:158_ENST00000536189_192:3415;ENST00000321280_0:187_ENST00000262768_429:3652;ENST00000575712_0:153_ENST00000262768_429:3652;ENST00000575245_0:151_ENST00000262768_429:3652;ENST00000321300_0:147_ENST00000536189_192:3415;ENST00000435091_0:147_ENST00000536189_192:3415;ENST00000435091_0:147_ENST00000262768_429:3652;ENST00000321300_0:147_ENST00000262768_429:3652
BICD1	ENSG00000151746	AKAP13	ENSG00000170776	0	1	ENST00000548411_0:2641_ENST00000560676_477:3297;ENST00000548411_0:2641_ENST00000560579_9:4290;ENST00000548411_0:2641_ENST00000361243_4242:9468;ENST00000548411_0:2641_ENST00000394518_4256:13215;ENST00000548411_0:2641_ENST00000559362_4384:5459;ENST00000548411_0:2641_ENST00000394510_223:9128;ENST00000548411_0:2641_ENST00000560340_377:553
MTHFD1L	ENSG00000120254	NXNL2	ENSG00000130045	0	1	ENST00000453602_0:222_ENST00000375855_754:1457;ENST00000367321_0:3121_ENST00000375855_754:1457;ENST00000450635_0:144_ENST00000375855_754:1457;ENST00000618312_0:2678_ENST00000375855_754:1457;ENST00000611279_0:2994_ENST00000375855_754:1457
SEC61G	ENSG00000132432	GLIPR1	ENSG00000139278	0	1	ENST00000550491_0:589_ENST00000395535_103:459;ENST00000266659_0:742_ENST00000415949_379:732;ENST00000266659_0:742_ENST00000352861_107:462;ENST00000550491_0:589_ENST00000415949_379:732;ENST00000456650_0:612_ENST00000395535_103:459;ENST00000266659_0:742_ENST00000450622_163:512;ENST00000456650_0:612_ENST00000415949_379:732;ENST00000550491_0:589_ENST00000352861_107:462;ENST00000456650_0:612_ENST00000450622_163:512;ENST00000266659_0:742_ENST00000395535_103:459;ENST00000550491_0:589_ENST00000450622_163:512;ENST00000456650_0:612_ENST00000352861_107:462
MTCH1	ENSG00000137409	LRIG1	ENSG00000144749	0	1	ENST00000460219_0:819_ENST00000273261_1675:5273;ENST00000373616_0:992_ENST00000273261_1675:5273
SDC4	ENSG00000124145	RCC1	ENSG00000180198	0	1	ENST00000373833_0:133_ENST00000372733_239:2613;ENST00000649185_0:214_ENST00000372733_239:2613;ENST00000434290_0:138_ENST00000372733_239:2613;ENST00000427469_0:204_ENST00000372733_239:2613;ENST00000398958_0:251_ENST00000372733_239:2613
SDC4	ENSG00000124145	PSMG4	ENSG00000180822	0	1	ENST00000438998_0:379_ENST00000372733_286:2613;ENST00000419065_0:321_ENST00000372733_286:2613;ENST00000438998_0:369_ENST00000372733_276:2613;ENST00000419065_0:311_ENST00000372733_276:2613
BCAR1	ENSG00000050820	ECE1	ENSG00000117298	0	1	ENST00000566465_0:527_ENST00000357071_590:3763;ENST00000566465_0:527_ENST00000649812_657:3153;ENST00000566465_0:527_ENST00000374893_586:2484;ENST00000566465_0:527_ENST00000473505_612:674;ENST00000566465_0:527_ENST00000415912_589:5099;ENST00000566465_0:527_ENST00000436918_561:2328;ENST00000566465_0:527_ENST00000264205_561:2381
CENPV	ENSG00000166582	CCNDBP1	ENSG00000166946	0	1	ENST00000300213_0:1210_ENST00000299736_572:1165
