geneA.name	geneA.id	geneB.name	geneB.id	paircount	splitcount	transcripts.list
SAV1	ENSG00000151748	GYPE	ENSG00000197465	0	1	ENST00000553731_0:187_ENST00000437468_93:499;ENST00000553731_0:187_ENST00000358615_89:1684
AP3B1	ENSG00000132842	TBCA	ENSG00000171530	0	1	ENST00000306388_0:189_ENST00000519295_2522:3986;ENST00000380377_0:263_ENST00000519295_2522:3986;ENST00000380377_0:263_ENST00000255194_2573:5838;ENST00000520361_0:195_ENST00000255194_2573:5838;ENST00000520361_0:195_ENST00000519295_2522:3986;ENST00000306388_0:189_ENST00000255194_2573:5838
ARHGAP29	ENSG00000137962	ARL16	ENSG00000214087	0	1	ENST00000260526_0:945_ENST00000622299_244:1053;ENST00000370217_0:1013_ENST00000621051_405:1181;ENST00000370217_0:1013_ENST00000397498_405:1227;ENST00000370217_0:1013_ENST00000622299_244:1053;ENST00000370217_0:1013_ENST00000570561_238:768;ENST00000370217_0:1013_ENST00000573392_74:869;ENST00000260526_0:945_ENST00000576135_190:694;ENST00000370217_0:1013_ENST00000576135_190:694;ENST00000260526_0:945_ENST00000573392_74:869;ENST00000260526_0:945_ENST00000574938_124:751;ENST00000260526_0:945_ENST00000570561_238:768;ENST00000370217_0:1013_ENST00000574938_124:751;ENST00000260526_0:945_ENST00000397498_405:1227;ENST00000260526_0:945_ENST00000621051_405:1181;ENST00000370217_0:1013_ENST00000573715_375:763;ENST00000260526_0:945_ENST00000573715_375:763
EXOC5	ENSG00000070367	PARP2	ENSG00000129484	0	1	ENST00000621441_0:387_ENST00000539930_496:635;ENST00000340918_0:278_ENST00000539930_496:635;ENST00000413566_0:278_ENST00000539930_496:635
GABPA	ENSG00000154727	COL6A3	ENSG00000163359	0	1	ENST00000354828_0:501_ENST00000353578_8995:9963;ENST00000354828_0:501_ENST00000347401_7730:8625;ENST00000354828_0:501_ENST00000295550_9781:10749;ENST00000354828_0:501_ENST00000409809_8710:8916;ENST00000354828_0:501_ENST00000472056_7733:8628
NEPRO	ENSG00000163608	NECTIN3	ENSG00000177707	0	1	ENST00000314400_0:298_ENST00000493615_1473:1876;ENST00000383675_0:192_ENST00000493615_1473:1876
BSCL2	ENSG00000168000	TOP1	ENSG00000198900	0	1	ENST00000361337_0:263_ENST00000403550_317:1693
ZNF44	ENSG00000197857	MIER1	ENSG00000198160	0	1	ENST00000355684_0:196_ENST00000401041_238:2552;ENST00000355684_0:196_ENST00000371014_238:1728;ENST00000356109_0:122_ENST00000401041_238:2552;ENST00000356109_0:122_ENST00000371014_238:1728
ZC3H7A	ENSG00000122299	EEF1A1	ENSG00000156508	0	1	ENST00000610520_0:217_ENST00000396516_765:3845;ENST00000356303_0:353_ENST00000396516_765:3845;ENST00000615060_0:217_ENST00000396516_765:3845;ENST00000331523_0:399_ENST00000571198_710:2343;ENST00000356303_0:353_ENST00000355758_745:3825;ENST00000610520_0:217_ENST00000355758_745:3825;ENST00000455918_0:535_ENST00000571198_710:2343;ENST00000615060_0:217_ENST00000355758_745:3825;ENST00000316292_0:1146_ENST00000396516_765:3845;ENST00000455918_0:535_ENST00000355758_745:3825;ENST00000309268_0:773_ENST00000571198_710:2343;ENST00000331523_0:399_ENST00000355758_745:3825;ENST00000455918_0:535_ENST00000396516_765:3845;ENST00000331523_0:399_ENST00000396516_765:3845;ENST00000309268_0:773_ENST00000355758_745:3825;ENST00000316292_0:1146_ENST00000355758_745:3825;ENST00000309268_0:773_ENST00000396516_765:3845;ENST00000316292_0:1146_ENST00000571198_710:2343;ENST00000610520_0:217_ENST00000571198_710:2343;ENST00000615060_0:217_ENST00000571198_710:2343;ENST00000356303_0:353_ENST00000571198_710:2343
ELOA	ENSG00000011007	RPL11	ENSG00000142676	0	1	ENST00000458455_0:693_ENST00000609199_107:2671;ENST00000374550_0:475_ENST00000613537_213:4924;ENST00000643754_0:414_ENST00000609199_107:2671;ENST00000458455_0:693_ENST00000418390_424:5154;ENST00000374550_0:475_ENST00000418390_424:5154;ENST00000643754_0:414_ENST00000613537_213:4924;ENST00000643754_0:414_ENST00000418390_424:5154;ENST00000458455_0:693_ENST00000613537_213:4924;ENST00000374550_0:475_ENST00000609199_107:2671
