geneA.name	geneA.id	geneB.name	geneB.id	paircount	splitcount	transcripts.list
IL15	ENSG00000164136	CCDC14	ENSG00000175455	0	1	ENST00000514653_0:359_ENST00000310351_285:3111;ENST00000514653_0:359_ENST00000485727_4489:7917;ENST00000529613_0:492_ENST00000426152_109:735;ENST00000529613_0:492_ENST00000433542_434:3260;ENST00000514653_0:359_ENST00000434954_111:567;ENST00000529613_0:492_ENST00000485727_4489:7917;ENST00000529613_0:492_ENST00000310351_285:3111;ENST00000514653_0:359_ENST00000433542_434:3260;ENST00000514653_0:359_ENST00000488653_464:4156;ENST00000529613_0:492_ENST00000434954_111:567;ENST00000514653_0:359_ENST00000426152_109:735;ENST00000529613_0:492_ENST00000488653_464:4156
UBC	ENSG00000150991	ANXA6	ENSG00000197043	2	0	ENST00000523714_0:1008_ENST00000541272_349:582;ENST00000354546_0:1146_ENST00000541272_349:582
ZNF510	ENSG00000081386	ERCC6L2	ENSG00000182150	0	1	ENST00000375231_0:1003_ENST00000288985_384:4564;ENST00000223428_0:541_ENST00000288985_384:4564
TRPM7	ENSG00000092439	FAM118A	ENSG00000100376	0	1	ENST00000560955_0:1678_ENST00000216214_1356:3458;ENST00000646667_0:1704_ENST00000441876_868:1776;ENST00000560955_0:1678_ENST00000441876_868:1776;ENST00000313478_0:1722_ENST00000216214_1356:3458;ENST00000313478_0:1722_ENST00000441876_868:1776;ENST00000646667_0:1704_ENST00000216214_1356:3458
AURKC	ENSG00000105146	YME1L1	ENSG00000136758	0	1	ENST00000448930_0:712_ENST00000613434_2037:4127;ENST00000598785_0:516_ENST00000375972_2243:2517;ENST00000448930_0:712_ENST00000326799_2246:3994;ENST00000598785_0:516_ENST00000613434_2037:4127;ENST00000599062_0:442_ENST00000376016_2108:3856;ENST00000598785_0:516_ENST00000376016_2108:3856;ENST00000415300_0:499_ENST00000613434_2037:4127;ENST00000448930_0:712_ENST00000376016_2108:3856;ENST00000599062_0:442_ENST00000375972_2243:2517;ENST00000599062_0:442_ENST00000613434_2037:4127;ENST00000415300_0:499_ENST00000375972_2243:2517;ENST00000302804_0:637_ENST00000613434_2037:4127;ENST00000599062_0:442_ENST00000326799_2246:3994;ENST00000302804_0:637_ENST00000375972_2243:2517;ENST00000302804_0:637_ENST00000376016_2108:3856;ENST00000302804_0:637_ENST00000326799_2246:3994;ENST00000415300_0:499_ENST00000326799_2246:3994;ENST00000598785_0:516_ENST00000326799_2246:3994;ENST00000415300_0:499_ENST00000376016_2108:3856;ENST00000448930_0:712_ENST00000375972_2243:2517
ANKRD42	ENSG00000137494	GUF1	ENSG00000151806	0	1	ENST00000526731_0:1008_ENST00000281543_2066:4449;ENST00000533342_0:612_ENST00000281543_2066:4449;ENST00000393389_0:1518_ENST00000281543_2066:4449;ENST00000393392_0:664_ENST00000281543_2066:4449;ENST00000528722_0:812_ENST00000281543_2066:4449;ENST00000531895_0:859_ENST00000281543_2066:4449
TRIM22	ENSG00000132274	TMTC1	ENSG00000133687	0	1	ENST00000552618_0:1171_ENST00000379965_1050:2989;ENST00000551659_0:1270_ENST00000379965_1050:2989;ENST00000551659_0:1270_ENST00000454828_763:1002;ENST00000551659_0:1270_ENST00000450670_23:508;ENST00000552618_0:1171_ENST00000454828_763:1002;ENST00000552618_0:1171_ENST00000450670_23:508
ARHGDIA	ENSG00000141522	COL5A2	ENSG00000204262	0	1	ENST00000618828_0:1649_ENST00000541078_779:1517;ENST00000618828_0:1649_ENST00000584461_472:886;ENST00000374866_0:2312_ENST00000580685_489:1201;ENST00000374866_0:2312_ENST00000269321_549:1906;ENST00000649066_0:2062_ENST00000541078_779:1517;ENST00000618828_0:1649_ENST00000580685_489:1201;ENST00000649066_0:2062_ENST00000580685_489:1201;ENST00000618828_0:1649_ENST00000269321_549:1906;ENST00000374866_0:2312_ENST00000579121_469:637;ENST00000618828_0:1649_ENST00000579121_469:637;ENST00000374866_0:2312_ENST00000584461_472:886;ENST00000649066_0:2062_ENST00000579121_469:637;ENST00000374866_0:2312_ENST00000541078_779:1517;ENST00000649066_0:2062_ENST00000269321_549:1906;ENST00000649066_0:2062_ENST00000584461_472:886
SRRT	ENSG00000087087	IDH1	ENSG00000138413	0	1	ENST00000417583_0:387_ENST00000618262_1370:2955;ENST00000451391_0:279_ENST00000611405_1302:2905;ENST00000451391_0:279_ENST00000618262_1364:2955;ENST00000417583_0:383_ENST00000611405_1302:2905;ENST00000417583_0:383_ENST00000618262_1364:2955;ENST00000451391_0:283_ENST00000448764_39:1607;ENST00000345146_0:187_ENST00000448764_33:1607;ENST00000417583_0:383_ENST00000448764_33:1607;ENST00000345146_0:187_ENST00000618262_1364:2955;ENST00000345146_0:191_ENST00000618262_1370:2955;ENST00000451391_0:283_ENST00000611405_1308:2905;ENST00000345146_0:191_ENST00000611405_1308:2905;ENST00000451391_0:283_ENST00000618262_1370:2955;ENST00000417583_0:387_ENST00000448764_39:1607;ENST00000417583_0:387_ENST00000611405_1308:2905;ENST00000345146_0:187_ENST00000611405_1302:2905;ENST00000345146_0:191_ENST00000448764_39:1607;ENST00000451391_0:279_ENST00000448764_33:1607
ATP6V1H	ENSG00000047249	SLC19A2	ENSG00000117479	0	1	ENST00000646527_0:382_ENST00000355221_1376:2365;ENST00000646527_0:382_ENST00000520188_1094:1967;ENST00000646596_0:379_ENST00000396774_1077:1892;ENST00000367804_0:369_ENST00000520188_1094:1967;ENST00000646596_0:379_ENST00000359530_1134:2007;ENST00000646596_0:379_ENST00000520188_1094:1967;ENST00000236137_0:441_ENST00000355221_1376:2365;ENST00000646527_0:382_ENST00000359530_1134:2007;ENST00000646527_0:382_ENST00000396774_1077:1892;ENST00000367804_0:369_ENST00000396774_1077:1892;ENST00000646596_0:379_ENST00000355221_1376:2365;ENST00000236137_0:441_ENST00000520188_1094:1967;ENST00000236137_0:441_ENST00000396774_1077:1892;ENST00000367804_0:369_ENST00000359530_1134:2007;ENST00000236137_0:441_ENST00000359530_1134:2007;ENST00000367804_0:369_ENST00000355221_1376:2365
