geneA.name	geneA.id	geneB.name	geneB.id	paircount	splitcount	transcripts.list
SMN2	ENSG00000205571	SERF1B	ENSG00000205572	0	1	ENST00000506542_0:303_ENST00000638794_81:846;ENST00000506542_0:303_ENST00000628696_81:885;ENST00000506542_0:303_ENST00000614240_81:804;ENST00000506542_0:303_ENST00000380741_81:900;ENST00000506542_0:303_ENST00000511812_129:867;ENST00000506542_0:303_ENST00000626847_113:1440;ENST00000506542_0:303_ENST00000380742_103:1388;ENST00000506542_0:303_ENST00000380743_155:1536
DIS3	ENSG00000083520	SPARC	ENSG00000113140	0	1	ENST00000231061_0:426_ENST00000377767_1076:10604;ENST00000539687_0:290_ENST00000545453_1307:3651;ENST00000231061_0:426_ENST00000377780_978:5232;ENST00000231061_0:426_ENST00000545453_1307:3651;ENST00000539687_0:290_ENST00000377780_978:5232;ENST00000539687_0:290_ENST00000377767_1076:10604
TMEM135	ENSG00000166575	YES1	ENSG00000176105	0	1	ENST00000584307_0:163_ENST00000305494_435:2433;ENST00000584307_0:163_ENST00000532959_142:1149
DCUN1D3	ENSG00000188215	FAM155A	ENSG00000204442	0	1	ENST00000375915_0:1054_ENST00000563934_86:1996
TRNT1	ENSG00000072756	MACF1	ENSG00000127603	0	1	ENST00000280591_0:674_ENST00000564288_21035:24828;ENST00000251607_0:710_ENST00000564288_21035:24828;ENST00000280591_0:674_ENST00000289893_15718:19141;ENST00000280591_0:674_ENST00000372925_11091:14496;ENST00000251607_0:710_ENST00000372925_11091:14496;ENST00000251607_0:710_ENST00000289893_15718:19141;ENST00000280591_0:674_ENST00000567887_20526:24319;ENST00000251607_0:710_ENST00000567887_20526:24319;ENST00000251607_0:710_ENST00000372915_20042:23440;ENST00000280591_0:674_ENST00000372915_20042:23440;ENST00000280591_0:674_ENST00000361689_14133:17538;ENST00000251607_0:710_ENST00000361689_14133:17538
TOX2	ENSG00000124191	TBC1D4	ENSG00000136111	0	1	ENST00000377636_0:845_ENST00000358131_334:2605;ENST00000377625_0:845_ENST00000358131_334:2605;ENST00000431480_0:845_ENST00000358131_334:2605;ENST00000377636_0:845_ENST00000341197_127:1880;ENST00000377625_0:845_ENST00000341197_127:1880;ENST00000431480_0:845_ENST00000341197_127:1880
PHPT1	ENSG00000054148	ANXA5	ENSG00000164111	0	1	ENST00000515017_0:164_ENST00000371661_529:985;ENST00000515017_0:164_ENST00000247665_489:890;ENST00000296511_0:315_ENST00000247665_489:890;ENST00000296511_0:315_ENST00000371661_529:985
MCTP1	ENSG00000175471	PARD6G	ENSG00000178184	0	1	ENST00000463384_0:172_ENST00000429576_1852:3159;ENST00000463384_0:172_ENST00000505078_1334:2629;ENST00000463384_0:172_ENST00000312216_1947:2337;ENST00000463384_0:172_ENST00000508509_1933:2214;ENST00000463384_0:172_ENST00000515393_2610:5396
NUS1	ENSG00000153989	NRG1	ENSG00000157168	0	1	ENST00000287842_0:594_ENST00000368494_860:4676;ENST00000523534_0:706_ENST00000368494_860:4676;ENST00000523079_0:1019_ENST00000368494_860:4676;ENST00000518206_0:138_ENST00000368494_860:4676;ENST00000405005_0:502_ENST00000368494_860:4676;ENST00000521670_0:610_ENST00000368494_860:4676;ENST00000356819_0:962_ENST00000368494_860:4676;ENST00000631040_0:494_ENST00000368494_860:4676
ZNF343	ENSG00000088876	BLOC1S6	ENSG00000104164	0	1	ENST00000421216_0:102_ENST00000568816_522:4013;ENST00000421216_0:102_ENST00000565216_121:573
